cadence_id,cadence_name,model,created_at,most_recent_person_added,calls_ever_alltime,salesloft_url
3395555,BC BDRV - PI Power Hour - Wave 3 ,BDR,2024-02-08,2024-09-18T06:45:39.246245-07:00,101,https://app.salesloft.com/app/cadences/3395555
3428661,BC BDRV - PI Power Hour - Wave 4,BDR,2024-03-05,2024-12-11T09:23:25.575222-08:00,1190,https://app.salesloft.com/app/cadences/3428661
3365871,BC BDRV Reschedule Blitz,BDR,2024-01-16,2025-01-07T06:40:58.215909-08:00,100,https://app.salesloft.com/app/cadences/3365871
3476716,BC BDRV- Disco Reschedule Cadence ,BDR,2024-04-05,2025-05-20T12:01:10.418787-07:00,483,https://app.salesloft.com/app/cadences/3476716
3428654,BC BLIND CAL SEND - Reschedule BDR Opps,BDR,2024-03-05,2024-03-20T13:12:19.909824-07:00,17,https://app.salesloft.com/app/cadences/3428654
3392547,BC Zoom Info - BDRV March '24 Webinar - Top Strategies for Improving Your Firm's Client Intake,BDR,2024-02-06,2024-04-11T13:42:56.979807-07:00,243,https://app.salesloft.com/app/cadences/3392547
3178199,BDR - AI Content - Follow-up - V2,BDR,2023-07-12,2025-05-13T08:34:44.958497-07:00,2548,https://app.salesloft.com/app/cadences/3178199
1418810,BDR - Book Download,BDR,2020-01-27,2022-08-29T13:19:55.035386-07:00,607,https://app.salesloft.com/app/cadences/1418810
1993283,BDR - BrandPost Webinar Follow Up,BDR,2021-02-24,2022-09-12T14:23:40.156746-07:00,4,https://app.salesloft.com/app/cadences/1993283
3638291,BDR - CaseLoad Lunch Offer - Closed Lost,BDR,2024-07-26,2024-07-29T08:19:38.158262-07:00,0,https://app.salesloft.com/app/cadences/3638291
3622073,BDR - CaseLode Outreach ,BDR,2024-07-12,2024-09-17T11:17:24.845835-07:00,126,https://app.salesloft.com/app/cadences/3622073
2280370,BDR - ClioCon - Mid-Sized Firms - Pre-Event Nurturing - Copy,BDR,2021-09-21,2021-10-08T06:33:58.248436-07:00,10,https://app.salesloft.com/app/cadences/2280370
2304957,BDR - ClioCon - Mid-Sized Firms - Pre-Event Nurturing - V2,BDR,2021-10-08,2021-10-22T08:23:32.418976-07:00,3,https://app.salesloft.com/app/cadences/2304957
2280367,BDR - ClioCon - Small Firms - Pre-Event Nurturing,BDR,2021-09-21,2021-10-08T07:56:24.583869-07:00,9,https://app.salesloft.com/app/cadences/2280367
2304955,BDR - ClioCon - Small Firms - Pre-Event Nurturing - V2,BDR,2021-10-08,2022-01-06T13:23:51.078559-08:00,6,https://app.salesloft.com/app/cadences/2304955
2280361,BDR - ClioCon - Solo - Pre-Event Nurturing,BDR,2021-09-21,2021-10-08T07:55:55.205757-07:00,2,https://app.salesloft.com/app/cadences/2280361
2304949,BDR - ClioCon - Solo - Pre-Event Nurturing - V2,BDR,2021-10-08,2021-10-21T11:56:08.317776-07:00,1,https://app.salesloft.com/app/cadences/2304949
2889821,BDR - DOG Opps Cadence - V2,BDR,2022-11-18,2025-01-28T20:42:17.114302-08:00,4343,https://app.salesloft.com/app/cadences/2889821
2414234,BDR - Demo Request - Lawyaw ,BDR,2022-01-11,2022-07-28T08:03:53.864760-07:00,11,https://app.salesloft.com/app/cadences/2414234
3932995,BDR - Draft Follow up after engagement,BDR,2025-07-11,2025-10-23T09:01:03.119288-07:00,33,https://app.salesloft.com/app/cadences/3932995
1955120,BDR - Drip Nurture Emails,BDR,2021-01-28,2022-10-26T14:30:13.656128-07:00,0,https://app.salesloft.com/app/cadences/1955120
4079054,BDR - Event: NTLS,BDR,2026-01-28,never,0,https://app.salesloft.com/app/cadences/4079054
3389107,BDR - Firm Central - Nurture Followup,BDR,2024-02-05,2024-09-18T13:44:19.903050-07:00,481,https://app.salesloft.com/app/cadences/3389107
2057735,BDR - Forgotten Pipeline Email Cadence,BDR,2021-04-09,2025-03-12T07:58:22.889754-07:00,0,https://app.salesloft.com/app/cadences/2057735
2566899,BDR - HIPAA - DOG Winback Cadence,BDR,2022-04-19,2023-11-16T12:43:55.086114-08:00,9,https://app.salesloft.com/app/cadences/2566899
3741716,BDR - ITS Solutions Event - Jan 2025,BDR,2024-11-19,2025-01-21T10:48:42.306347-08:00,38,https://app.salesloft.com/app/cadences/3741716
3891751,BDR - In person conference - ALA 2025,BDR,2025-05-21,2025-06-06T12:07:16.635375-07:00,401,https://app.salesloft.com/app/cadences/3891751
3964536,BDR - In person conference - ILTACON 2025,BDR,2025-08-19,2025-09-24T09:03:44.521939-07:00,84,https://app.salesloft.com/app/cadences/3964536
1401057,BDR - LTR 2019 Download,BDR,2020-01-14,2022-05-17T06:11:30.238394-07:00,1766,https://app.salesloft.com/app/cadences/1401057
1845371,BDR - LTR 2020 Download,BDR,2020-10-21,2023-02-27T08:42:36.861350-08:00,2299,https://app.salesloft.com/app/cadences/1845371
3419922,BDR - Law Firm Admin Series - Invite - 03 -2024,BDR,2024-02-27,2024-03-18T07:07:16.571062-07:00,137,https://app.salesloft.com/app/cadences/3419922
2068719,BDR - Law Firm Communication Webinar/Forgotten Pipeline,BDR,2021-04-16,2022-06-13T09:38:10.256028-07:00,0,https://app.salesloft.com/app/cadences/2068719
1403368,BDR - Legal Rates Calculator,BDR,2020-01-15,2022-12-01T14:19:35.329491-08:00,112,https://app.salesloft.com/app/cadences/1403368
2828430,BDR - Legal Trends Report 2022 - Prospecting,BDR,2022-10-10,2025-05-02T08:31:01.384491-07:00,3071,https://app.salesloft.com/app/cadences/2828430
3015237,BDR - MM - Above The Line - Tier 1,BDR,2023-03-03,2023-03-22T14:13:33.104627-07:00,0,https://app.salesloft.com/app/cadences/3015237
